subjectId,username,pretest.1-1,pretest.1-1_correct,pretest.1-2,pretest.1-2_correct,pretest.1-3,pretest.1-3_correct,pretest.1-4,pretest.1-4_correct,pretest.1-5,pretest.1-5_correct,pretest.1-6,pretest.1-6_correct,pretest.1-7,pretest.1-7_correct,pretest.1-8,pretest.1-8_correct,pretest.2-1,pretest.2-1_correct,pretest.2-2,pretest.2-2_correct,pretest.2-3,pretest.2-3_correct,pretest.2-4,pretest.2-4_correct,pretest.2-5,pretest.2-5_correct,pretest.2-6,pretest.2-6_correct,pretest.2-7,pretest.2-7_correct,pretest.2-8,pretest.2-8_correct
1,tacopady,0,2,0,1,0,4,0,2,1,2,1,2,1,2,1,2,0,2,3,1,3,4,0,2,0,2,0,2,2,2,0,2
1,fistfuttery,,2,,1,,4,,2,,2,,2,,2,,2,,2,,1,,4,,2,,2,,2,,2,,2
rubberyargus,rubberyargus,1,2,2,1,1,4,0,2,1,2,1,2,,2,,2,1,2,3,1,1,4,2,2,2,2,3,2,1,2,2,2
amazingimperio,amazingimperio,,2,,1,,4,,2,,2,,2,,2,,2,,2,,1,,4,,2,,2,,2,,2,,2
truthfulnimbus,truthfulnimbus,,2,,1,,4,,2,,2,,2,,2,,2,,2,,1,,4,,2,,2,,2,,2,,2
fearlesskedavra,fearlesskedavra,,2,,1,,4,,2,,2,,2,,2,,2,,2,,1,,4,,2,,2,,2,,2,,2
